zip_code,county_code,city,state,county_name,gender,marital_status,age,income,median_income,education_code,occupation,num_in_hhld,num_of_adults,num_of_children,child0_3,child4_6,child7_9,child10_11,child13_18,children,home_owner,dwelling_type,year_structure,median_home_value,len_of_residence,great_outdoors,sporting_life,health_fitness,luxury_life,doit_yourselfer,truck_owner,motor_cycle,sports,entertainment_enth,hobbyists,avid_readers,collectors,travel,pets,music,toys,art_craft,gardening,family,food,cars,casino_gambling,contributors,travel_business,travel_personal,travel_vacation,donor_arts_or_cultural,contributor_index,AAPPAREL,ACASHCONT,AEDUCATN,AENTRTAIN,AFOODTOTL,AGTOTALE,AHEALTH,AHOUSING,AINSPENSN,AREADING,ATRANS
33410,99,Palm Beach Gardens,FL,Palm Beach,M,S,54,O,107,3,38,4,4,0,,,,,,,Y,S,2012,571,1,1,,,1,1,,,,1,1,1,1,1,,1,,1,,1,1,,,,,,1,,2,1429.56,1607.33,578.02,2441.84,6610.54,737.32,4057.54,17101.1,5109.83,80.72,12674.77
2492,21,Needham,MA,Norfolk,F,S,55,O,108,2,15,4,3,0,,,,,,,Y,S,1778,580,15,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,,2,2120.77,2251.52,2208.62,3783.34,10157.87,2005.02,5830,24731.18,10068.25,182.49,14440.85
20015,1,Washington,DC,District Of Columbia,F,S,44,N,147,2,0,1,1,0,,,,,,,Y,S,1936,758,5,,,1,,1,,,,,1,1,,1,,,,,1,,1,,,,,,1,,8,2131.32,3338.79,1400.73,3753.65,8908.32,1378.45,6016.8,22927.24,9582.81,155.7,15035.71
60010,31,South Barrington,IL,Cook,M,M,0,O,255,,0,0,3,0,,,,,,,Y,S,2008,0,5,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,9,2626.15,2313.15,2482.12,3012.98,8402.44,1985.29,5596.21,24095.73,7912.42,155.39,14623.02
11780,103,Saint James,NY,Suffolk,M,M,60,O,255,2,36,9,6,1,,,,,1,1,Y,S,1927,0,15,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,1,,1,2299.64,2508.33,2517.62,3110.53,8030.98,1616.96,5375.35,25190.96,8989.56,150.05,13765.05
8889,19,Whitehouse Station,NJ,Hunterdon,M,M,57,O,165,2,0,5,4,1,,,,1,,1,Y,S,1990,620,15,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,,3,2749.14,2058.5,4082.49,3533.39,9231.09,3838.09,5528.09,29198.48,8881.48,202.92,15499.21
55331,53,Excelsior,MN,Hennepin,M,M,55,O,108,1,16,3,2,1,,,,,,1,Y,S,1984,525,15,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,1,,2,1855.97,5001.84,2008.08,5612,8766.99,2025.82,6561.01,26491.86,9137.63,281.67,17615.47
7045,27,Montville,NJ,Morris,F,S,64,O,139,1,30,2,2,0,,,,,,,Y,S,1980,676,15,,,1,,1,,,,,,1,1,1,,,,,1,,,,,1,,,1,,3,2626.91,1975.67,3570.52,3390.28,8988.1,3283.89,5238.7,28591.06,8343.79,197.8,14629.13
22181,59,Vienna,VA,Fairfax,F,M,45,O,255,,0,2,2,0,,,,,,,Y,S,1973,0,3,,1,,,,,,1,1,1,1,1,1,,1,,1,,1,1,,,1,,,1,,1,2063.05,2621.63,1413.2,3172.48,8545.26,1056.95,4924.58,24000.65,9092.52,136.93,16205.6
92625,59,Corona Del Mar,CA,Orange,F,M,53,O,96,2,2,3,2,1,,,1,,,1,Y,S,1969,999,12,1,1,1,1,1,,,1,1,1,1,,1,1,1,,1,1,1,1,,,1,1,,1,,6,1927.63,2368.23,1619.24,3327.91,7637.96,1801.78,4921.72,24449.79,6978.07,144.25,12540.4
78257,29,San Antonio,TX,Bexar,F,M,56,O,63,3,0,6,2,4,,1,1,,1,1,Y,S,2001,61,6,1,1,1,1,1,,,1,,1,1,1,1,1,1,,,1,1,1,1,,1,,,1,,5,1924.45,2295.53,1013.14,3409.64,7612.53,1210.48,4778.84,21787.58,8521.29,107.5,15803.95
94301,85,Palo Alto,CA,Santa Clara,F,S,23,K,255,,0,3,2,1,,,,,,1,Y,S,1990,0,4,,,1,,,,,,1,,1,,1,,1,,1,1,,,,,1,,,1,,1,2102.5,2762.29,1747.87,3317.32,7973.43,1642.22,4707,24725.93,7652.3,143.11,12658.95
10504,119,Armonk,NY,Westchester,M,M,32,K,128,1,0,2,2,0,,,,,,,,S,1985,918,3,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,8,2721.23,2600.85,2921.25,3440.79,8914.38,1849.88,5762.16,27456.03,10581.95,162.8,14919.59
91301,37,Agoura Hills,CA,Los Angeles,F,M,53,O,123,,0,4,4,0,,,,,,,Y,S,1958,999,2,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,1,,4,2273.95,2839.84,2158.03,3645.26,8780.27,1774.68,4976.91,26242.52,8827.63,155.7,14358.74
94117,75,San Francisco,CA,San Francisco,M,S,40,L,103,1,7,1,1,0,,,,,,,Y,S,1937,999,8,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,7,2052.49,1683.71,1515.09,3191.21,8083.2,1099.69,3554.8,24261.75,7561.13,122.76,12171.1
92562,65,Murrieta,CA,Riverside,M,M,42,K,114,1,31,4,2,2,,1,1,,,1,Y,S,2001,604,5,,,1,,1,,,,,1,1,,1,,,,1,,,1,,,,,,1,,7,2068.47,2086.65,1779.44,3158.67,8207.27,1339.82,4335.73,24119.78,7518.87,128.28,12921.09
93619,19,Clovis,CA,Fresno,M,M,84,F,91,2,8,3,2,1,,,,,1,1,W,S,1996,354,2,1,,1,1,1,,,,,1,1,1,1,,,,1,,1,1,,,1,,,1,,5,2213.78,2455.09,1922.87,3567.03,8752.98,1567.96,4726.44,25713.46,8465.09,144.95,13979.17
10583,119,Scarsdale,NY,Westchester,M,M,32,O,198,,0,7,6,1,,1,,,,1,Y,S,1959,895,7,,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,,4,2660.81,2649.67,2766.84,3492.31,8992.19,1775.79,5822.17,27506.03,10345.96,168.16,14765.03
11577,59,Roslyn Heights,NY,Nassau,M,M,54,O,154,2,3,4,2,2,,,,,,1,Y,S,1999,990,15,1,1,1,1,,1,,1,1,1,1,,1,,1,,,,1,1,1,,1,1,,1,,9,2476.88,2476.25,2434.78,3105.75,8240.51,1577.77,5218.39,26007.02,9208.19,143.98,13649.26
29482,19,Sullivans Island,SC,Charleston,F,M,152,K,255,,0,2,2,0,,,,,,,R,S,,1,6,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,2110.33,3159.96,1179.07,2987.83,8504.74,3220.73,5539.75,17764.25,7205.17,94.21,10263.07
91326,37,Porter Ranch,CA,Los Angeles,F,M,61,O,102,2,0,6,5,1,,,,1,,1,Y,S,1970,698,10,1,1,1,1,1,,,1,1,1,1,,1,,1,,,1,,1,,,1,1,,1,,6,2318.38,3279.67,1939.74,3552.38,8568.86,1756.16,5016.87,25297.16,8536.13,142.05,13763.03
7928,27,Chatham,NJ,Morris,M,M,65,N,255,2,2,6,4,2,,1,1,,,1,Y,S,1954,474,4,1,1,,1,1,,,1,,1,1,1,1,,1,1,1,1,1,1,,,1,,,1,,1,2871.1,1924.36,4060.85,3415.62,9529.02,3603.98,5176.55,29672.39,9147.61,166.57,14660
94010,81,Hillsborough,CA,San Mateo,F,M,61,O,255,,0,5,5,0,,,,,,,Y,S,1915,999,7,1,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,1,1,,,1,1,,1,,1,2176.36,2890.81,1811.28,3359.76,8375.14,1569.86,4553,24944.43,8055.14,131.95,13257.17
94080,81,South San Francisco,CA,San Mateo,M,M,7,L,104,,0,5,4,0,,,,,,,Y,S,1976,715,15,,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,1,1,,,1,,,1,,3,2205.45,2783.3,1584.64,3052.91,8113.19,1364.04,4196.37,23009,7455.99,112.47,12667.07
7757,25,Oceanport,NJ,Monmouth,F,M,25,O,135,,0,6,5,1,,,,1,,1,Y,S,1917,658,15,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,,2,2563.95,2109.36,3481.45,3343.23,8800.43,3221.91,5565.3,28191.96,8210.85,214.89,14844.09
33076,11,Parkland,FL,Broward,M,M,68,O,149,1,2,4,4,0,,,,,,,Y,S,1998,860,8,1,1,1,1,,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,,,1,,5,2020.81,1623.06,724.12,2982.91,8345.14,987.66,4600.27,20006.47,7636.6,89.61,16189.97
33040,87,Key West,FL,Monroe,M,S,45,M,85,1,0,3,2,0,,,,,,1,Y,S,1998,999,9,,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,8,1266.22,1129.26,552.09,2174.23,6037.03,590.84,3344.7,15820.81,4393.18,63.91,11802.43
